date,dom_pax,int_pax,pax,dom_flt,int_flt,flt,dom_rpm,int_rpm,rpm,dom_asm,int_asm,asm,dom_lf,int_lf,lf,fuel_spot_price,transformed_price,monthly_nomial_gdp,monthly_real_gdp
2003-01-01,0.82834660776994,0.793857356053258,0.8204985387695949,0.9104378588386073,0.8716042709580996,0.9083764177366689,0.7933499914865596,0.8012156318596007,0.7909198462239626,0.7369732458028633,0.7841578794190927,0.7331869755965581,0.6680109275400026,0.7325388444712627,0.6953923781702297,0.887,-0.11882979439167032,11135.8235599162,14595.8733444509
2003-02-01,0.8147742371690736,0.7618028495764899,0.8044441018965616,0.8192458547088162,0.8296282146896554,0.8211809484342272,0.7758079923439185,0.7600133019829718,0.765686416736723,0.6569557372551014,0.7387766095237165,0.6625096104258947,0.7166644985039679,0.6877357067430986,0.7234099057230116,1.055,0.05375807477694517,11210.3740005332,14652.4225795991
2003-03-01,0.8742552838414674,0.798453891045042,0.8612591474730653,0.9212165407212769,0.879300528650576,0.919041781914574,0.8360891319792572,0.7956177574069354,0.8193187790384515,0.7541202409953076,0.7803072344377142,0.7424190199029503,0.7732535449460128,0.7186604314376227,0.7740007967069447,0.893,-0.11220595036788839,11176.1894395571,14595.658490883
2003-04-01,0.8555693744261594,0.766968038121616,0.8410532418172121,0.8931713388039526,0.8547627201692758,0.8907136134228502,0.8190881616453165,0.7527056876399207,0.795101413731202,0.7174848325944563,0.7375633488614355,0.7010002962302817,0.7693508520879407,0.6581686528888219,0.759394502722082,0.743,-0.29048656837547643,11256.9557785185,14673.4879067859
2003-05-01,0.8690642191702231,0.7801095756362773,0.854506940493474,0.9142516073053493,0.8564431710339622,0.9098586591349882,0.8305062166323376,0.7772494515606141,0.8100806802986833,0.7264729721560101,0.7396345503798791,0.707688161004576,0.7934174580460518,0.7679891386332781,0.7998937724073827,0.714,-0.328436608280409,11275.2231476185,14690.107595141
2003-06-01,0.8875413181811851,0.8156050540672903,0.8750583981265052,0.9222442618987454,0.8750358461504901,0.9194046996786867,0.854942761402242,0.8184282865653776,0.8395274223236049,0.7414698126880275,0.770043677926469,0.72993972991293,0.8531286587745546,0.8720772363855785,0.868012216173151,0.748,-0.2840709695547766,11406.1190738474,14869.0151651824
2003-07-01,0.9079665819473313,0.845441113385967,0.8967898887359773,0.9511749216374774,0.9028802065253965,0.9489883392337646,0.8796311477095822,0.8427153735777044,0.8643915963589954,0.7781607897041489,0.7969274718330706,0.7649315100373322,0.8840900221152597,0.9023985518177705,0.8986854335413624,0.78,-0.24385211609421586,11468.5925780034,14910.2305497859
2003-08-01,0.897418234864718,0.8483301301839554,0.8880104616256661,0.9504229602499628,0.9073966495783199,0.9489281494603041,0.8712247749022142,0.8482552485361592,0.8601970678402964,0.7783608782472857,0.8044046707307979,0.7683405328832311,0.8545596461558476,0.9040579272891839,0.876377639091754,0.823,-0.1919581925095413,11567.505500957,14985.303658265
2003-09-01,0.8366369808068779,0.790155852976441,0.8272249859541043,0.9074024687243227,0.8483037446431423,0.9026874081699887,0.7983327868147656,0.8127836999227349,0.7981957519324734,0.7217284102996722,0.7815154159043427,0.7223745261036179,0.7010537270716796,0.7995172725901344,0.735493294383216,0.738,-0.2969389180373806,11663.9089209363,15072.7949219177
2003-10-01,0.8739625485752409,0.7945337759526012,0.860527312416834,0.939740707471941,0.8499820289597158,0.9320209538526854,0.833975899267883,0.8107425247788225,0.8223214084627841,0.7590347173220504,0.7792487304152758,0.745110358452985,0.7601144789905034,0.7972544878563886,0.7798433143008897,0.82,-0.1955030793986673,11699.7538170053,15093.0484391709
2003-11-01,0.8557401331135193,0.7911261340223477,0.8440770863741474,0.8927846696585373,0.8469818901829944,0.8893795365743564,0.8180828068937585,0.8000197242358333,0.8078027331656727,0.7319337363575151,0.7627110936619275,0.7207164751609749,0.7469754130349943,0.801629205008297,0.7704156154561146,0.831,-0.18255850032382828,11786.1260507228,15181.954405983
2003-12-01,0.8728089197678415,0.8134433479250265,0.8618775090667672,0.9222806533826127,0.8710538722813874,0.9189223588184312,0.8426390240979273,0.8186108532544139,0.8308573335317497,0.7690599954828805,0.7784196314420333,0.7511935961357832,0.7737739039937557,0.8414542163222208,0.7993626344442969,0.876,-0.1310729165195453,11830.8221323064,15215.2028346549
2004-01-01,0.8338685156808516,0.8091096935401638,0.8274228169897899,0.9123099434036437,0.8754517810895934,0.9105586741764,0.8086685863402705,0.8118724260714805,0.8049959824554822,0.7626917720446613,0.7845043569056429,0.7496978263104417,0.6801092754000261,0.784281188716247,0.714911698313637,0.998,-0.0020016996871753154,11805.9343014207,15134.3494465505
2004-02-01,0.8441161723690858,0.7954691542615149,0.8344551223083183,0.8888653916169904,0.8600167607892777,0.8875319437849871,0.8122599558003536,0.7881417284386778,0.8000654379553227,0.7368418942384878,0.7650181966431937,0.7248426690373044,0.7229088070768831,0.7341982199426761,0.7377506307263312,0.933,-0.06898774277354369,11926.5319722459,15258.4440710678
2004-03-01,0.8987004381827788,0.8311923834983572,0.8868237951677402,0.9536052326572495,0.8895708634289266,0.9494064733042133,0.8681872420402366,0.8311738485057654,0.8527763217897171,0.8035673515772679,0.7910772948872564,0.7787100008938186,0.8081176011447899,0.8613667219791824,0.8304342052848227,0.947,-0.054232603838692446,12037.8747263169,15355.1799732243
